Store,Date,Product,Weekly_Sales,inventory level,Temperature,Past promotion of product in lac,demand forecast
2,16-12-2011,Glass meal prep containers set,1881176.67,0,51.63,3.159,7.87
3,23-12-2011,Vegan leather wallet,2270188.99,0,47.96,3.112,7.87
1,30-12-2011,LED desk lamp with USB charging port,1497462.72,1,44.55,3.129,7.87
4,01/06/2012,Blueberry scented candle,1550369.92,0,49.01,3.157,7.35
5,13-01-2012,Stainless steel water bottle,1459601.17,0,48.53,3.261,7.35
2,20-01-2012,Leather messenger bag,1394393.84,0,54.11,3.268,7.35
3,27-01-2012,Organic coconut oil,1319325.59,0,54.26,3.29,7.35
2,02/03/2012,Bluetooth wireless earbuds,1636339.65,0,56.55,3.36,7.35
1,02/10/2012,Floral patterned throw pillow,1802477.43,1,48.02,3.409,7.35
4,17-02-2012,Bamboo cutting board set,1819870.00,0,45.32,3.51,7.35
5,24-02-2012,Aromatherapy essential oil diffuser,1539387.83,0,57.25,3.555,7.35
2,03/02/2012,Resistance band set,1688420.76,0,60.96,3.63,7.35
3,03/09/2012,Ceramic plant pot with saucer,1675431.16,0,58.76,3.669,7.35
2,16-03-2012,Insulated lunch box,1677472.78,0,64.74,3.734,7.35
1,23-03-2012,Himalayan salt lamp,1511068.07,0,65.93,3.787,7.35
4,30-03-2012,Reusable silicone food storage bags,1649604.63,0,67.61,3.845,7.35
5,04/06/2012,Handwoven rattan basket,1899676.88,0,70.43,3.891,7.14
2,13-04-2012,Yoga mat with carrying strap,1621031.70,0,69.07,3.891,7.14
3,20-04-2012,Stainless steel french press coffee maker,1521577.87,0,66.76,3.877,7.14
1,27-04-2012,Memory foam travel neck pillow,1468928.37,0,67.23,3.814,7.14
4,05/04/2012,Glass meal prep containers set,1684519.99,0,75.55,3.749,7.14
5,05/11/2012,Vegan leather wallet,1611096.05,0,73.77,3.688,7.14
2,18-05-2012,LED desk lamp with USB charging port,1595901.87,0,70.33,3.63,7.14
3,25-05-2012,Blueberry scented candle,1555444.55,0,77.22,3.561,7.14
2,06/01/2012,Stainless steel water bottle,1624477.58,0,77.95,3.501,7.14
1,06/08/2012,Leather messenger bag,1697230.96,0,78.30,3.452,7.14
4,15-06-2012,Organic coconut oil,1630607.00,0,79.35,3.393,7.14
5,22-06-2012,Bluetooth wireless earbuds,1527845.81,0,78.39,3.346,7.14
2,29-06-2012,Floral patterned throw pillow,1540421.49,0,84.88,3.286,7.14
3,07/06/2012,Bamboo cutting board set,1769854.16,0,81.57,3.227,6.91
1,13-07-2012,Aromatherapy essential oil diffuser,1527014.04,0,77.12,3.256,6.91
4,20-07-2012,Resistance band set,1497954.76,0,80.42,3.311,6.91
5,27-07-2012,Ceramic plant pot with saucer,1439123.71,0,82.66,3.407,6.91
2,08/03/2012,Insulated lunch box,1631135.79,0,86.11,3.417,6.91
3,08/10/2012,Himalayan salt lamp,1592409.97,0,85.05,3.494,6.91
2,17-08-2012,Reusable silicone food storage bags,1597868.05,0,84.85,3.571,6.91
1,24-08-2012,Handwoven rattan basket,1494122.38,0,77.66,3.62,6.91
4,31-08-2012,Yoga mat with carrying strap,1582083.40,0,80.49,3.638,6.91
5,09/07/2012,Stainless steel french press coffee maker,1661767.33,1,83.96,3.73,6.91
2,14-09-2012,Memory foam travel neck pillow,1517428.87,0,74.97,3.717,6.91
3,21-09-2012,Glass meal prep containers set,1506126.06,0,69.87,3.721,6.91
1,28-09-2012,Vegan leather wallet,1437059.26,0,76.08,3.666,6.91
4,10/05/2012,LED desk lamp with USB charging port,1670785.97,0,68.55,3.617,6.57
5,10/12/2012,Blueberry scented candle,1573072.81,0,62.99,3.601,6.57
2,19-10-2012,Stainless steel water bottle,1508068.77,0,67.97,3.594,6.57
3,26-10-2012,Leather messenger bag,1493659.74,0,69.16,3.506,6.57
2,02/05/2010,Organic coconut oil,2136989.46,0,40.19,2.572,8.32
1,02/12/2010,Bluetooth wireless earbuds,2137809.50,1,38.49,2.548,8.32
4,19-02-2010,Floral patterned throw pillow,2124451.54,0,39.69,2.514,8.32
5,26-02-2010,Bamboo cutting board set,1865097.27,0,46.10,2.561,8.32
2,03/05/2010,Aromatherapy essential oil diffuser,1991013.13,0,47.17,2.625,8.32
3,03/12/2010,Resistance band set,1990483.78,0,57.56,2.667,8.32
1,19-03-2010,Ceramic plant pot with saucer,1946070.88,0,54.52,2.72,8.32
4,26-03-2010,Insulated lunch box,1750197.81,0,51.26,2.732,8.32
5,04/02/2010,Himalayan salt lamp,2066187.72,0,63.27,2.719,8.20
2,04/09/2010,Reusable silicone food storage bags,1954689.21,0,65.41,2.77,8.20
3,16-04-2010,Handwoven rattan basket,1874957.94,0,68.07,2.808,8.20
2,23-04-2010,Yoga mat with carrying strap,1821990.93,0,65.11,2.795,8.20
1,30-04-2010,Stainless steel french press coffee maker,1802450.29,0,66.98,2.78,8.20
4,05/07/2010,Memory foam travel neck pillow,2042581.71,0,71.28,2.835,8.20
5,14-05-2010,Glass meal prep containers set,1880752.36,0,73.31,2.854,8.20
2,21-05-2010,Vegan leather wallet,1896937.10,0,74.83,2.826,8.20
3,28-05-2010,LED desk lamp with USB charging port,1957113.89,0,81.13,2.759,8.20
1,06/04/2010,Blueberry scented candle,2102539.93,0,81.81,2.705,8.20
4,06/11/2010,Stainless steel water bottle,2025538.76,0,83.40,2.668,8.20
5,18-06-2010,Leather messenger bag,2001636.96,0,85.81,2.637,8.20
2,25-06-2010,Organic coconut oil,1939927.09,0,86.26,2.653,8.20
3,07/02/2010,Bluetooth wireless earbuds,2003940.64,0,82.74,2.669,8.10
2,07/09/2010,Floral patterned throw pillow,1880902.62,0,82.59,2.642,8.10
1,16-07-2010,Bamboo cutting board set,1845879.79,0,85.32,2.623,8.10
4,23-07-2010,Aromatherapy essential oil diffuser,1781717.71,0,87.66,2.608,8.10
5,30-07-2010,Resistance band set,1804246.16,0,83.49,2.64,8.10
2,08/06/2010,Ceramic plant pot with saucer,1991909.98,0,89.53,2.627,8.10
3,13-08-2010,Insulated lunch box,1895601.05,0,89.05,2.692,8.10
1,20-08-2010,Himalayan salt lamp,1964335.23,0,88.70,2.664,8.10
4,27-08-2010,Reusable silicone food storage bags,1863840.49,0,87.12,2.619,8.10
5,09/03/2010,Handwoven rattan basket,1904608.09,0,81.83,2.577,8.10
2,09/10/2010,Yoga mat with carrying strap,1839128.83,1,79.09,2.565,8.10
3,17-09-2010,Stainless steel french press coffee maker,1793903.60,0,82.05,2.582,8.10
2,24-09-2010,Memory foam travel neck pillow,1724557.22,0,81.79,2.624,8.10
1,10/01/2010,Glass meal prep containers set,1827440.43,0,69.24,2.603,8.16
4,10/08/2010,Vegan leather wallet,1849921.44,0,63.19,2.633,8.16
5,15-10-2010,LED desk lamp with USB charging port,1794355.49,0,65.80,2.72,8.16
2,22-10-2010,Blueberry scented candle,1737947.64,0,68.50,2.725,8.16
3,29-10-2010,Stainless steel water bottle,1802755.11,0,66.24,2.716,8.16
1,11/05/2010,Leather messenger bag,1939061.41,0,57.85,2.689,8.16
4,11/12/2010,Organic coconut oil,1916812.74,0,59.69,2.728,8.16
5,19-11-2010,Bluetooth wireless earbuds,1956739.17,0,50.81,2.771,8.16
2,26-11-2010,Floral patterned throw pillow,2658725.29,1,62.98,2.735,8.16
3,12/03/2010,Bamboo cutting board set,2015781.27,0,49.33,2.708,8.16
2,12/10/2010,Aromatherapy essential oil diffuser,2378726.55,0,45.50,2.843,8.16
1,17-12-2010,Resistance band set,2609166.75,0,47.55,2.869,8.16
4,24-12-2010,Ceramic plant pot with saucer,3436007.68,0,49.97,2.886,8.16
5,31-12-2010,Insulated lunch box,1750434.55,1,47.30,2.943,8.16
2,01/07/2011,Himalayan salt lamp,1758050.79,0,44.69,2.976,8.03
3,14-01-2011,Reusable silicone food storage bags,1744193.58,0,33.02,2.983,8.03
1,21-01-2011,Handwoven rattan basket,1751384.90,0,41.40,3.016,8.03
4,28-01-2011,Yoga mat with carrying strap,1695371.68,0,42.83,3.01,8.03
5,02/04/2011,Stainless steel french press coffee maker,1929346.23,0,38.25,2.989,8.03
2,02/11/2011,Memory foam travel neck pillow,2168041.61,1,33.19,3.022,8.03
3,18-02-2011,Glass meal prep containers set,2080884.82,0,57.83,3.045,8.03
2,25-02-2011,Vegan leather wallet,1833511.08,0,60.80,3.065,8.03
1,03/04/2011,LED desk lamp with USB charging port,1981607.78,0,57.77,3.288,8.03
4,03/11/2011,Blueberry scented candle,1879107.31,0,52.70,3.459,8.03
5,18-03-2011,Stainless steel water bottle,1902557.66,0,62.32,3.488,8.03
2,25-03-2011,Leather messenger bag,1766162.05,0,69.42,3.473,8.03
3,04/01/2011,Organic coconut oil,1800171.36,0,55.43,3.524,7.93
1,04/08/2011,Bluetooth wireless earbuds,1847552.61,0,67.00,3.622,7.93
4,15-04-2011,Floral patterned throw pillow,1856467.84,0,69.48,3.743,7.93
5,22-04-2011,Bamboo cutting board set,1886339.60,0,69.39,3.807,7.93
2,29-04-2011,Aromatherapy essential oil diffuser,1745545.28,0,69.21,3.81,7.93
3,05/06/2011,Resistance band set,1837743.60,0,61.48,3.906,7.93
2,13-05-2011,Ceramic plant pot with saucer,1838513.07,0,74.61,3.899,7.93
1,20-05-2011,Insulated lunch box,1688281.86,0,67.14,3.907,7.93
4,27-05-2011,Himalayan salt lamp,1797732.56,0,76.42,3.786,7.93
5,06/03/2011,Reusable silicone food storage bags,1933756.21,0,83.07,3.699,7.93
2,06/10/2011,Handwoven rattan basket,1929153.16,0,83.40,3.648,7.93
3,17-06-2011,Yoga mat with carrying strap,1953771.99,0,86.53,3.637,7.93
2,24-06-2011,Stainless steel french press coffee maker,1790925.80,0,85.17,3.594,7.93
1,07/01/2011,Memory foam travel neck pillow,1866243.00,0,85.69,3.524,7.85
4,07/08/2011,Glass meal prep containers set,1853161.99,0,87.70,3.48,7.85
5,15-07-2011,Vegan leather wallet,1785187.29,0,89.83,3.575,7.85
2,22-07-2011,LED desk lamp with USB charging port,1743816.41,0,89.34,3.651,7.85
3,29-07-2011,Blueberry scented candle,1680693.06,0,90.07,3.682,7.85
1,08/05/2011,Stainless steel water bottle,1876704.26,0,93.34,3.684,7.85
4,08/12/2011,Leather messenger bag,1812768.26,0,91.58,3.638,7.85
5,19-08-2011,Organic coconut oil,1844094.59,0,89.86,3.554,7.85
2,26-08-2011,Bluetooth wireless earbuds,1821139.91,0,90.45,3.523,7.85
3,09/02/2011,Floral patterned throw pillow,1809119.70,0,89.64,3.533,7.85
2,09/09/2011,Bamboo cutting board set,1748000.65,1,77.97,3.546,7.85
1,16-09-2011,Aromatherapy essential oil diffuser,1691439.52,0,78.85,3.526,7.85
4,23-09-2011,Resistance band set,1669299.78,0,75.58,3.467,7.85
5,30-09-2011,Ceramic plant pot with saucer,1650394.44,0,78.14,3.355,7.85
2,10/07/2011,Insulated lunch box,1837553.43,0,69.92,3.285,7.44
3,14-10-2011,Himalayan salt lamp,1743882.19,0,71.67,3.274,7.44
1,21-10-2011,Reusable silicone food storage bags,1834680.25,0,64.53,3.353,7.44
4,28-10-2011,Handwoven rattan basket,1769296.25,0,65.87,3.372,7.44
5,11/04/2011,Yoga mat with carrying strap,1959707.90,0,55.53,3.332,7.44
2,11/11/2011,Stainless steel french press coffee maker,1920725.15,0,59.33,3.297,7.44
3,18-11-2011,Memory foam travel neck pillow,1902762.50,0,62.01,3.308,7.44
2,25-11-2011,Glass meal prep containers set,2614202.30,1,56.36,3.236,7.44
1,12/02/2011,Vegan leather wallet,1954952.00,0,48.74,3.172,7.44
4,12/09/2011,LED desk lamp with USB charging port,2290549.32,0,41.76,3.158,7.44
5,16-12-2011,Blueberry scented candle,2432736.52,0,50.13,3.159,7.44
2,23-12-2011,Stainless steel water bottle,3224369.80,0,46.66,3.112,7.44
3,30-12-2011,Leather messenger bag,1874226.52,1,44.57,3.129,7.44
1,01/06/2012,Organic coconut oil,1799520.14,0,46.75,3.157,7.06
4,13-01-2012,Bluetooth wireless earbuds,1744725.48,0,45.99,3.261,7.06
5,20-01-2012,Floral patterned throw pillow,1711769.11,0,51.70,3.268,7.06
2,27-01-2012,Bamboo cutting board set,1660906.14,0,50.50,3.29,7.06
3,02/03/2012,Aromatherapy essential oil diffuser,1935299.94,0,55.21,3.36,7.06
2,02/10/2012,Resistance band set,2103322.68,1,46.98,3.409,7.06
1,17-02-2012,Ceramic plant pot with saucer,2196688.46,0,43.82,3.51,7.06
4,24-02-2012,Insulated lunch box,1861802.70,0,54.63,3.555,7.06
5,03/02/2012,Himalayan salt lamp,1952555.66,0,58.79,3.63,7.06
2,03/09/2012,Reusable silicone food storage bags,1937628.26,0,57.11,3.669,7.06
3,16-03-2012,Handwoven rattan basket,1976082.13,0,63.68,3.734,7.06
1,23-03-2012,Yoga mat with carrying strap,1790439.16,0,64.01,3.787,7.06
4,30-03-2012,Stainless steel french press coffee maker,1857480.84,0,66.83,3.845,7.06
5,04/06/2012,Memory foam travel neck pillow,2129035.91,0,68.43,3.891,6.89
2,13-04-2012,Glass meal prep containers set,1935869.10,0,68.08,3.891,6.89
3,20-04-2012,Vegan leather wallet,1847344.45,0,65.69,3.877,6.89
2,27-04-2012,LED desk lamp with USB charging port,1764133.09,0,67.20,3.814,6.89
1,05/04/2012,Blueberry scented candle,1923957.09,0,76.73,3.749,6.89
4,05/11/2012,Stainless steel water bottle,1917520.99,0,73.87,3.688,6.89
5,18-05-2012,Leather messenger bag,2000940.67,0,71.27,3.63,6.89
2,25-05-2012,Organic coconut oil,1912791.09,0,78.19,3.561,6.89
3,06/01/2012,Bluetooth wireless earbuds,1910092.37,0,78.38,3.501,6.89
1,06/08/2012,Floral patterned throw pillow,2010216.49,0,78.69,3.452,6.89
4,15-06-2012,Bamboo cutting board set,1962924.30,0,80.56,3.393,6.89
5,22-06-2012,Aromatherapy essential oil diffuser,1887733.21,0,81.04,3.346,6.89
2,29-06-2012,Resistance band set,1881046.12,0,86.32,3.286,6.89
3,07/06/2012,Ceramic plant pot with saucer,2041507.40,0,84.20,3.227,6.57
2,13-07-2012,Insulated lunch box,1830075.13,0,80.17,3.256,6.57
1,20-07-2012,Himalayan salt lamp,1819666.46,0,83.23,3.311,6.57
4,27-07-2012,Reusable silicone food storage bags,1757923.88,0,86.37,3.407,6.57
5,08/03/2012,Handwoven rattan basket,1946104.64,0,90.22,3.417,6.57
2,08/10/2012,Yoga mat with carrying strap,1866719.96,0,88.55,3.494,6.57
3,17-08-2012,Stainless steel french press coffee maker,1928016.01,0,84.79,3.571,6.57
1,24-08-2012,Memory foam travel neck pillow,1876788.15,0,76.91,3.62,6.57
4,31-08-2012,Glass meal prep containers set,1947083.30,0,82.64,3.638,6.57
5,09/07/2012,Vegan leather wallet,1898777.07,1,87.65,3.73,6.57
2,14-09-2012,LED desk lamp with USB charging port,1814806.63,0,75.88,3.717,6.57
3,21-09-2012,Blueberry scented candle,1829415.67,0,71.09,3.721,6.57
2,28-09-2012,Stainless steel water bottle,1746470.56,0,79.45,3.666,6.57
1,10/05/2012,Leather messenger bag,1998321.04,0,70.27,3.617,6.17
4,10/12/2012,Organic coconut oil,1900745.13,0,60.97,3.601,6.17
5,19-10-2012,Bluetooth wireless earbuds,1847990.41,0,68.08,3.594,6.17
2,26-10-2012,Floral patterned throw pillow,1834458.35,0,69.79,3.506,6.17
3,02/05/2010,Bamboo cutting board set,461622.22,0,45.71,2.572,7.37
1,02/12/2010,Aromatherapy essential oil diffuser,420728.96,1,47.93,2.548,7.37
4,19-02-2010,Resistance band set,421642.19,0,47.07,2.514,7.37
5,26-02-2010,Ceramic plant pot with saucer,407204.86,0,52.05,2.561,7.37
2,03/05/2010,Insulated lunch box,415202.04,0,53.04,2.625,7.37
3,03/12/2010,Himalayan salt lamp,384200.69,0,63.08,2.667,7.37
2,19-03-2010,Reusable silicone food storage bags,375328.59,0,60.42,2.72,7.37
1,26-03-2010,Handwoven rattan basket,359949.27,0,57.06,2.732,7.37
4,04/02/2010,Yoga mat with carrying strap,423294.40,0,65.56,2.719,7.34
5,04/09/2010,Stainless steel french press coffee maker,415870.28,0,68.00,2.77,7.34
2,16-04-2010,Memory foam travel neck pillow,354993.26,0,66.98,2.808,7.34
3,23-04-2010,Glass meal prep containers set,339976.65,0,67.87,2.795,7.34
1,30-04-2010,Vegan leather wallet,361248.39,0,70.24,2.78,7.34
4,05/07/2010,LED desk lamp with USB charging port,399323.86,0,73.47,2.835,7.34
5,14-05-2010,Blueberry scented candle,384357.94,0,77.18,2.854,7.34
2,21-05-2010,Stainless steel water bottle,343763.17,0,75.81,2.826,7.34
3,28-05-2010,Leather messenger bag,350089.23,0,78.60,2.759,7.34
2,06/04/2010,Organic coconut oil,396968.80,0,78.53,2.705,7.34
1,06/11/2010,Bluetooth wireless earbuds,355017.09,0,82.10,2.668,7.34
4,18-06-2010,Floral patterned throw pillow,364076.85,0,83.52,2.637,7.34
5,25-06-2010,Bamboo cutting board set,357346.48,0,83.79,2.653,7.34
2,07/02/2010,Aromatherapy essential oil diffuser,381151.72,0,82.20,2.669,7.35
3,07/09/2010,Resistance band set,349214.18,0,81.75,2.642,7.35
1,16-07-2010,Ceramic plant pot with saucer,352728.78,0,84.32,2.623,7.35
4,23-07-2010,Insulated lunch box,352864.49,0,83.32,2.608,7.35
5,30-07-2010,Himalayan salt lamp,347955.05,0,82.04,2.64,7.35
2,08/06/2010,Reusable silicone food storage bags,402635.76,0,85.13,2.627,7.35
3,13-08-2010,Handwoven rattan basket,339597.38,0,86.74,2.692,7.35
2,20-08-2010,Yoga mat with carrying strap,351728.21,0,88.02,2.664,7.35
1,27-08-2010,Stainless steel french press coffee maker,362134.09,0,86.15,2.619,7.35
4,09/03/2010,Memory foam travel neck pillow,366473.97,0,84.16,2.577,7.35
5,09/10/2010,Glass meal prep containers set,352260.97,1,80.84,2.565,7.35
2,17-09-2010,Vegan leather wallet,363064.64,0,82.36,2.582,7.35
3,24-09-2010,LED desk lamp with USB charging port,355626.87,0,76.90,2.624,7.35
2,10/01/2010,Blueberry scented candle,358784.10,0,73.60,2.603,7.56
1,10/08/2010,Stainless steel water bottle,395107.35,0,66.99,2.633,7.56
4,15-10-2010,Leather messenger bag,345584.39,0,69.71,2.72,7.56
5,22-10-2010,Organic coconut oil,348895.98,0,71.64,2.725,7.56
2,29-10-2010,Bluetooth wireless earbuds,348591.74,0,72.04,2.716,7.56
3,11/05/2010,Floral patterned throw pillow,423175.56,0,62.94,2.689,7.56
1,11/12/2010,Bamboo cutting board set,386635.03,0,62.79,2.728,7.56
4,19-11-2010,Aromatherapy essential oil diffuser,372545.32,0,57.72,2.771,7.56
5,26-11-2010,Resistance band set,565567.84,1,68.71,2.735,7.56
2,12/03/2010,Ceramic plant pot with saucer,476420.77,0,53.76,2.708,7.56
3,12/10/2010,Insulated lunch box,467642.03,0,51.13,2.843,7.56
2,17-12-2010,Himalayan salt lamp,498159.39,0,52.20,2.869,7.56
1,24-12-2010,Reusable silicone food storage bags,605990.41,0,57.16,2.886,7.56
4,31-12-2010,Handwoven rattan basket,382677.76,1,53.20,2.943,7.56
5,01/07/2011,Yoga mat with carrying strap,378241.34,0,53.35,2.976,7.55
2,14-01-2011,Stainless steel french press coffee maker,381061.10,0,44.76,2.983,7.55
3,21-01-2011,Memory foam travel neck pillow,350876.70,0,50.74,3.016,7.55
1,28-01-2011,Glass meal prep containers set,364866.24,0,48.71,3.01,7.55
4,02/04/2011,Vegan leather wallet,438516.53,0,45.95,2.989,7.55
5,02/11/2011,LED desk lamp with USB charging port,430526.21,1,43.57,3.022,7.55
2,18-02-2011,Blueberry scented candle,432782.10,0,61.58,3.045,7.55
3,25-02-2011,Stainless steel water bottle,397211.19,0,67.40,3.065,7.55
2,03/04/2011,Leather messenger bag,437084.51,0,65.11,3.288,7.55
1,03/11/2011,Organic coconut oil,404753.30,0,61.29,3.459,7.55
